Rank,Run Name,Variant,Composite_Score,FID,MMD,ESM PPPL,pLDDT
1,Reference Early (38107929),Reference,40.65074322495201,23.6544,3.5031,1.0042,61.97
2,Reference Baseline (38110284),Reference,40.55708255153226,23.6852,3.5068,1.0043,61.83
3,Reference Baseline (38112128),Reference,40.55708255153226,23.6852,3.5068,1.0043,61.83
4,FT Last-2 Safe (38134593),FT Last-2,40.55708255153226,23.6852,3.5068,1.0043,61.83
5,Eval Guard v2 (38147436),Eval Guard,40.55708255153226,23.6852,3.5068,1.0043,61.83
6,Eval Guard v3 Safe (38147492),Eval Guard,40.55708255153226,23.6852,3.5068,1.0043,61.83
7,Step 4500 Eval (38128244),Checkpoint Selection,39.59454,23.7836,3.5204,1.0046,58.78
8,Domain-Adaptive Resume (38067100),Domain-Adaptive,39.56624288804646,8.8038,1.495,244.63,35.6
